1	0.192776
2	0.0963878
3	0.0642585
4	0.0481939
5	0.0385551
6	0.0321293
7	0.0275394
8	0.024097
9	0.0214195
10	0.0192776
11	0.0175251
12	0.0160646
13	0.0148289
14	0.0137697
15	0.0128517
16	0.0120485
17	0.0113397
18	0.0107098
19	0.0101461
20	0.00963878
21	0.00917979
22	0.00876253
23	0.00838155
24	0.00803232
25	0.00771103
26	0.00741445
27	0.00713984
28	0.00688484
29	0.00664744
30	0.00642585
31	0.00621857
32	0.00602424
33	0.00584169
34	0.00566987
35	0.00550788
36	0.00535488
37	0.00521015
38	0.00507304
39	0.00494297
40	0.00481939
41	0.00470184
42	0.0045899
43	0.00448315
44	0.00438126
45	0.0042839
46	0.00419077
47	0.00410161
48	0.00401616
49	0.0039342
50	0.00385551
51	0.00377991
52	0.00370722
53	0.00363728
54	0.00356992
55	0.00350501
56	0.00344242
57	0.00338203
58	0.00332372
59	0.00326738
60	0.00321293
61	0.00316026
62	0.00310928
63	0.00305993
64	0.00301212
65	0.00296578
66	0.00292084
67	0.00287725
68	0.00283494
69	0.00279385
70	0.00275394
71	0.00271515
72	0.00267744
73	0.00264076
74	0.00260508
75	0.00257034
76	0.00253652
77	0.00250358
78	0.00247148
79	0.0024402
80	0.0024097
81	0.00237995
82	0.00235092
83	0.0023226
84	0.00229495
85	0.00226795
86	0.00224158
87	0.00221581
88	0.00219063
89	0.00216602
90	0.00214195
91	0.00211841
92	0.00209539
93	0.00207286
94	0.0020508
95	0.00202922
96	0.00200808
97	0.00198738
98	0.0019671
99	0.00194723
100	0.00192776
